Stock,Buy date,Buy price,Entry rank,Risk-adj score,6m return % at entry,Volatility %/yr at entry,5y return %,WHY PICKED,Initial SL,SL path,Peak price,Final SL,Sell date,Sell price,Exit trigger,WHY EXITED,Return %
EMAMILTD,2020-12-11,453.5,8,61.8,121.0,31.0,-13.0,"Rank #8 of 460 by 6m-return/volatility | 6m +121%, vol ~31%/yr, 5y -13% (not over-extended)",371.9,-18% ->BE@+15%,551.8,453.5,2021-02-15,498.5,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 499,9.3
INDIAMART,2020-12-11,2840.1,11,59.43,145.0,39.0,n/a,"Rank #11 of 460 by 6m-return/volatility | 6m +145%, vol ~39%/yr",2328.9,-18% ->BE@+15% ->20%-trail,5274.3,4219.4,2021-03-09,4219.4,STOP_LOSS,"Stop-loss hit at 4219; had peaked +86%, SL trailed to 4219",48.0
BEPL,2020-12-11,129.6,25,49.76,197.0,63.0,459.0,"Rank #25 of 460 by 6m-return/volatility | 6m +197%, vol ~63%/yr, 5y +459%",106.3,-18% ->BE@+15% ->20%-trail,180.0,144.0,2021-01-25,144.0,STOP_LOSS,"Stop-loss hit at 144; had peaked +39%, SL trailed to 144",10.5
ADANIENT,2020-12-11,432.5,4,82.68,208.0,40.0,477.0,"Rank #4 of 460 by 6m-return/volatility | 6m +208%, vol ~40%/yr, 5y +477%",354.7,-18% ->BE@+15% ->20%-trail,1651.2,1321.0,2021-06-14,1321.0,STOP_LOSS,"Stop-loss hit at 1321; had peaked +282%, SL trailed to 1321",204.8
BLISSGVS,2021-01-13,199.1,25,51.92,95.0,29.0,14.0,"Rank #25 of 507 by 6m-return/volatility | 6m +95%, vol ~29%/yr, 5y +14% (not over-extended)",163.3,-18%,203.3,163.3,2021-02-15,171.0,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 171,-14.7
ASHOKLEY,2021-01-13,55.3,17,58.18,142.0,39.0,53.0,"Rank #17 of 507 by 6m-return/volatility | 6m +142%, vol ~39%/yr, 5y +53% (not over-extended)",45.3,-18%,63.1,45.3,2021-02-15,59.2,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 59,6.6
SUNTECK,2021-01-13,382.2,23,52.52,128.0,39.0,230.0,"Rank #23 of 507 by 6m-return/volatility | 6m +128%, vol ~39%/yr, 5y +230%",313.4,-18%,394.0,313.4,2021-02-15,367.5,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 368,-4.5
PERSISTENT,2021-01-13,809.8,22,53.83,118.0,35.0,150.0,"Rank #22 of 507 by 6m-return/volatility | 6m +118%, vol ~35%/yr, 5y +150% (not over-extended)",664.0,-18%,910.1,664.0,2021-02-15,879.4,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 879,8.0
JSWSTEEL,2021-01-13,403.0,24,52.39,100.0,30.0,292.0,"Rank #24 of 507 by 6m-return/volatility | 6m +100%, vol ~30%/yr, 5y +292%",330.4,-18%,420.0,330.4,2021-02-15,403.7,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 404,-0.4
GPIL,2021-01-13,23.3,5,98.77,248.0,40.0,333.0,"Rank #5 of 507 by 6m-return/volatility | 6m +248%, vol ~40%/yr, 5y +333%",19.1,-18%,24.2,19.1,2021-01-28,19.1,STOP_LOSS,"Stop-loss hit at 19; had peaked +4%, SL trailed to 19",-18.6
